dataset,pred_len,seq_len,label_len,e_layers,d_layers,factor,batch_size,train_epochs,dropout,embed,activation,encoder_activation,decoder_activation,output_activation,activation_signature,mse_mean,mse_std,mae_mean,mae_std,seed_count,run_count,improvement_vs_gelu_mean,improvement_vs_gelu_min,win_rate_vs_gelu
ETTh1,168,168.0,168.0,2.0,1.0,5.0,32.0,6.0,0.05,timeF,tanh,tanh,tanh,linear,act=tanh|enc=tanh|dec=tanh|out=linear|a=0|lee=1,0.9080917,0.12762386054421795,0.7418738933333334,0.05024260512157622,3,3,0.13155211871201863,-0.014581172670956936,0.6666666666666666
ETTh1,168,168.0,168.0,2.0,1.0,5.0,,,,,tanh,tanh,tanh,linear,act=tanh|enc=tanh|dec=tanh|out=linear|a=0|lee=1,0.9115707166666667,0.1307529008731196,0.7437885533333333,0.05345507595484768,3,3,,,
ETTh1,168,168.0,168.0,2.0,1.0,5.0,32.0,6.0,0.05,timeF,tanh_sin,tanh_sin,tanh_sin,linear,act=tanh_sin|enc=tanh_sin|dec=tanh_sin|out=linear|a=0.01|lee=1,0.92082505,0.13778333218117314,0.74885,0.058084723017416545,3,3,0.11921886715227326,-0.037705086492021846,0.6666666666666666
ETTh1,168,168.0,168.0,2.0,1.0,5.0,,,,,softsign,softsign,softsign,linear,act=softsign|enc=softsign|dec=softsign|out=linear|a=0|lee=1,0.9327076499999999,0.14664234161505846,0.74864139,0.0645031362780392,3,3,,,
ETTh1,168,168.0,168.0,2.0,1.0,5.0,32.0,6.0,0.05,timeF,softsign,softsign,softsign,linear,act=softsign|enc=softsign|dec=softsign|out=linear|a=0|lee=1,0.9407145633333333,0.14595564700745925,0.7535656300000001,0.06098115022434143,3,3,0.10030475879117555,-0.06629153290145888,0.6666666666666666
ETTh1,168,168.0,168.0,2.0,1.0,5.0,8.0,6.0,0.05,timeF,tanh,tanh,tanh,linear,act=tanh|enc=tanh|dec=tanh|out=linear|a=0|lee=1,0.9469277533333335,0.056957641304592584,0.7740316666666667,0.0393493814423218,3,3,0.08915227087903932,0.056232281540573484,1.0
ETTh1,168,168.0,168.0,2.0,1.0,5.0,8.0,6.0,0.05,timeF,softsign,softsign,softsign,linear,act=softsign|enc=softsign|dec=softsign|out=linear|a=0|lee=1,0.9609110833333334,0.08550028022793746,0.7907998533333332,0.0445077780167751,3,3,0.07408185244529025,0.019861934939441977,1.0
ETTh1,168,168.0,168.0,2.0,1.0,5.0,8.0,6.0,0.05,timeF,lee,lee,lee,linear,act=lee|enc=lee|dec=lee|out=linear|a=0|lee=1,0.9789807333333332,0.010388457068464583,0.7925985666666667,0.004657571715049984,3,3,0.0567754443499604,0.003656849050309791,1.0
ETTh1,168,168.0,168.0,2.0,1.0,5.0,,,,,gelu,tanh,gelu,linear,act=gelu|enc=tanh|dec=gelu|out=linear|a=0|lee=1,0.9983561,,0.79407793,,1,1,,,
ETTh1,168,168.0,168.0,2.0,1.0,5.0,32.0,6.0,0.05,timeF,swish,swish,swish,linear,act=swish|enc=swish|dec=swish|out=linear|a=0|lee=1,1.0218301866666666,0.030201172759721385,0.8169840533333333,0.015722880902637848,3,3,0.02292904183132291,-0.010061649351087545,0.6666666666666666
ETTh1,168,168.0,168.0,2.0,1.0,5.0,,,,,gelu,gelu,tanh,linear,act=gelu|enc=gelu|dec=tanh|out=linear|a=0|lee=1,1.0271759,,0.8279396,,1,1,,,
ETTh1,168,168.0,168.0,2.0,1.0,5.0,32.0,6.0,0.05,timeF,gelu,tanh,gelu,linear,act=gelu|enc=tanh|dec=gelu|out=linear|a=0|lee=1,1.0358701333333333,0.09744104011915788,0.8030495666666667,0.02605189666873093,3,3,0.009708379358096103,-0.10209300955207831,0.6666666666666666
ETTh1,168,168.0,168.0,2.0,1.0,5.0,8.0,6.0,0.05,timeF,gelu,gelu,gelu,linear,act=gelu|enc=gelu|dec=gelu|out=linear|a=0|lee=1,1.0392113,0.039915035322168946,0.8304253766666667,0.018933464857115615,3,3,0.0,0.0,0.0
